iter	Passed	Remaining
0	146	146051
1	146	73285
2	147	48982
3	147	36822
4	148	29530
5	148	24665
6	149	21193
7	150	18605
8	150	16580
9	151	14963
10	151	13636
11	152	12529
12	152	11595
13	153	10792
14	153	10096
15	154	9489
16	154	8953
17	155	8476
18	155	8049
19	156	7681
20	157	7334
21	157	7021
22	158	6731
23	159	6470
24	159	6226
25	160	6001
26	160	5792
27	161	5597
28	161	5416
29	162	5251
30	163	5097
31	163	4951
32	164	4812
33	164	4682
34	165	4558
35	165	4442
36	166	4331
37	166	4226
38	167	4127
39	168	4032
40	168	3947
41	169	3862
42	169	3781
43	170	3703
44	170	3628
45	171	3557
46	172	3488
47	172	3423
48	173	3360
49	173	3300
50	174	3244
51	175	3190
52	175	3137
53	176	3085
54	176	3039
55	177	2994
56	178	2949
57	178	2904
58	179	2862
59	180	2820
60	180	2782
61	181	2747
62	183	2722
63	183	2685
64	184	2649
65	184	2614
66	185	2580
67	185	2543
68	186	2514
69	186	2483
70	187	2453
71	188	2424
72	188	2395
73	189	2367
74	189	2340
75	190	2314
76	190	2289
77	191	2264
78	192	2243
79	193	2220
80	193	2196
81	194	2173
82	194	2150
83	195	2128
84	195	2105
85	196	2084
86	196	2061
87	197	2041
88	197	2022
89	198	2003
90	198	1985
91	199	1968
92	200	1950
93	200	1933
94	201	1916
95	201	1899
96	202	1882
97	202	1865
98	203	1850
99	203	1835
100	204	1821
101	204	1804
102	205	1790
103	206	1775
104	206	1761
105	207	1747
106	207	1734
107	208	1720
108	208	1707
109	209	1694
110	210	1682
111	210	1671
112	211	1658
113	211	1646
114	212	1634
115	212	1622
116	213	1610
117	214	1599
118	214	1587
119	215	1576
120	215	1565
121	216	1555
122	216	1542
123	217	1534
124	217	1525
125	218	1515
126	219	1506
127	219	1495
128	220	1485
129	220	1476
130	221	1467
131	221	1458
132	222	1449
133	222	1440
134	223	1432
135	224	1423
136	224	1415
137	225	1406
138	225	1398
139	226	1389
140	226	1381
141	227	1373
142	227	1365
143	228	1357
144	228	1350
145	229	1342
146	230	1335
147	230	1327
148	231	1320
149	231	1313
150	232	1306
151	232	1299
152	233	1292
153	234	1285
154	234	1279
155	235	1272
156	235	1266
157	236	1259
158	236	1253
159	237	1246
160	238	1240
161	238	1234
162	239	1228
163	239	1222
164	240	1215
165	240	1210
166	241	1203
167	241	1198
168	242	1192
169	243	1187
170	243	1181
171	244	1175
172	244	1170
173	245	1165
174	246	1159
175	246	1154
176	247	1149
177	247	1144
178	248	1139
179	249	1134
180	249	1128
181	249	1123
182	250	1118
183	251	1113
184	251	1108
185	252	1104
186	252	1099
187	253	1094
188	254	1090
189	254	1085
190	255	1081
191	255	1076
192	256	1072
193	256	1067
194	257	1063
195	258	1058
196	258	1054
197	259	1049
198	259	1045
199	260	1041
200	261	1037
201	261	1033
202	262	1029
203	262	1025
204	263	1020
205	263	1016
206	264	1012
207	264	1008
208	265	1004
209	266	1001
210	266	997
211	267	994
212	267	990
213	268	986
214	269	982
215	269	979
216	270	975
217	271	972
218	271	968
219	272	965
220	272	961
221	273	958
222	274	955
223	274	951
224	275	948
225	275	945
226	276	941
227	277	938
228	277	935
229	278	932
230	279	928
231	279	925
232	280	922
233	280	918
234	281	915
235	281	912
236	282	909
237	283	906
238	283	903
239	284	900
240	284	897
241	285	894
242	286	891
243	286	887
244	287	884
245	287	882
246	288	879
247	289	876
248	289	874
249	290	871
250	291	869
251	291	866
252	292	864
253	293	861
254	293	858
255	294	855
256	294	852
257	295	849
258	296	847
259	296	844
260	297	841
261	297	838
262	298	836
263	298	833
264	299	830
265	300	827
266	300	825
267	301	822
268	301	820
269	302	817
270	302	814
271	303	812
272	304	809
273	304	807
274	305	804
275	305	801
276	306	799
277	306	796
278	307	794
279	307	791
280	308	789
281	308	786
282	309	784
283	310	782
284	310	779
285	311	777
286	311	774
287	312	772
288	312	769
289	313	767
290	314	765
291	314	762
292	315	760
293	315	758
294	316	756
295	316	753
296	317	751
297	318	749
298	318	746
299	319	744
300	319	742
301	320	739
302	320	737
303	321	735
304	321	733
305	322	731
306	322	728
307	323	726
308	323	724
309	324	722
310	325	720
311	325	718
312	326	715
313	326	713
314	327	711
315	327	709
316	328	707
317	328	705
318	329	703
319	330	701
320	330	699
321	331	697
322	331	695
323	332	693
324	332	691
325	333	689
326	333	687
327	334	685
328	335	683
329	335	681
330	336	679
331	336	677
332	337	675
333	337	673
334	338	671
335	339	670
336	339	668
337	340	666
338	340	664
339	341	662
340	341	660
341	342	658
342	343	657
343	343	655
344	344	653
345	344	651
346	345	650
347	346	648
348	346	646
349	347	644
350	347	643
351	348	641
352	348	639
353	349	637
354	350	636
355	350	634
356	351	632
357	351	630
358	352	629
359	353	627
360	353	626
361	354	624
362	354	622
363	355	620
364	355	619
365	356	617
366	357	616
367	357	614
368	358	613
369	359	611
370	359	609
371	360	608
372	360	606
373	361	604
374	361	603
375	362	601
376	363	600
377	363	598
378	364	596
379	364	595
380	365	593
381	366	592
382	366	590
383	367	589
384	367	587
385	368	585
386	368	584
387	369	582
388	369	580
389	370	579
390	370	577
391	371	576
392	372	575
393	373	574
394	373	572
395	374	571
396	375	569
397	375	568
398	376	567
399	377	565
400	377	564
401	378	563
402	379	561
403	379	560
404	380	558
405	380	557
406	381	555
407	381	554
408	382	552
409	383	551
410	383	549
411	384	548
412	384	547
413	385	545
414	386	544
415	386	542
416	387	541
417	387	540
418	388	538
419	388	537
420	389	535
421	390	534
422	390	533
423	391	531
424	391	530
425	392	528
426	392	527
427	393	525
428	394	524
429	394	523
430	395	521
431	395	520
432	396	519
433	396	517
434	397	516
435	398	514
436	398	513
437	399	512
438	399	510
439	400	509
440	400	508
441	401	506
442	402	505
443	402	504
444	403	503
445	403	501
